USER_ID,SERVICE,SERVICESET_FLUX,ONLINE_FLUX_THISMONTH,ONLINE_FLUX_LASTMONTH,ONLINE_FLUX_TWOMONTHSAGO,ONLINE_DURATION_THISMONTH,ONLINE_DURATION_LASTMONTH,ONLINE_DURATION_TWOMONTHSAGO,CALL_DURATION_THISMONTH,CALL_DURATION_LASTMONTH,CALL_DURATION_TWOMONTHSAGO,NET_DURATION,LAST_RECHARGE_VALUE,TOTAL_RECHARGE_VALUE,TOTAL_RECHARGE_COUNT,TOTAL_OWE_COUNT,BALANCED,ONLINE_FLUX_NEXTMONTH
78002,2G,700,298.0,441.0,485.0,151.0,74.0,151.0,102.0,100.0,127.0,206.0,58.0,383.0,4.0,1.2409866131639042,55.0,1254.0
67208,2G,500,521.0,382.0,386.0,128.0,122.0,122.0,68.0,91.0,91.0,189.0,1.0,488.0,12.0,-0.8267668961226358,71.0,1121.0
54739,3G,400,504.0,721.0,427.0,64.0,147.0,104.0,88.0,75.0,115.0,195.0,67.0,474.0,6.0,0.08667225563757186,55.0,1132.0
60265,4G,400,368.0,404.0,354.0,106.0,129.0,118.0,81.0,129.0,70.0,166.0,83.0,575.0,12.0,1.6434401666127014,41.0,971.0
33085,3G,500,471.0,645.0,521.0,143.0,124.0,94.0,105.0,71.0,113.0,191.0,69.0,585.0,10.0,-2.131418038018108,0.0,1262.0
68546,3G,500,199.0,419.0,777.0,138.0,111.0,101.0,123.0,86.0,58.0,225.0,10.0,465.0,13.0,0.2679885274697971,42.0,1118.0
43108,4G,400,527.0,958.0,525.0,134.0,129.0,144.0,110.0,98.0,130.0,150.0,44.0,555.0,9.0,1.0376908813942676,42.0,1438.0
45662,4G,400,389.0,425.0,435.0,103.0,145.0,129.0,85.0,137.0,90.0,214.0,23.0,538.0,9.0,-1.6721821139319355,38.0,1055.0
75245,4G,400,469.0,293.0,529.0,92.0,142.0,119.0,64.0,104.0,112.0,160.0,47.0,483.0,12.0,-0.4468786243597529,66.0,931.0
50539,3G,500,375.0,370.0,679.0,147.0,124.0,125.0,65.0,107.0,110.0,167.0,26.0,537.0,8.0,1.8030374157018885,58.0,1107.0
76909,2G,600,406.0,365.0,548.0,142.0,112.0,138.0,109.0,111.0,108.0,210.0,42.0,558.0,8.0,0.5442061360012559,29.0,1291.0
42398,4G,400,478.0,651.0,613.0,124.0,162.0,130.0,112.0,139.0,88.0,142.0,94.0,337.0,10.0,0.6160405581088512,22.0,1378.0
73939,2G,500,356.0,400.0,569.0,135.0,122.0,167.0,71.0,100.0,84.0,189.0,83.0,573.0,7.0,0.03560917801709885,44.0,1186.0
56973,3G,600,402.0,631.0,385.0,102.0,88.0,132.0,92.0,65.0,66.0,173.0,96.0,572.0,5.0,-1.2540698826596453,26.0,1163.0
75375,4G,400,497.0,559.0,487.0,137.0,130.0,121.0,94.0,122.0,110.0,229.0,29.0,477.0,7.0,-0.17123514552801725,64.0,1147.0
35933,2G,200,550.0,305.0,617.0,117.0,146.0,165.0,95.0,79.0,71.0,160.0,32.0,524.0,9.0,-0.18204648103705806,50.0,1139.0
75605,3G,700,532.0,542.0,700.0,101.0,136.0,133.0,82.0,108.0,91.0,161.0,76.0,613.0,5.0,-1.2225260680210022,21.0,1463.0
