45782,59.0,465.0,7.0,36.0
45242,70.0,542.0,13.0,66.0
49350,8.0,548.0,8.0,110.0
53342,63.0,498.0,4.0,30.0
48564,68.0,614.0,15.0,18.0
50699,49.0,612.0,8.0,35.0
52073,67.0,472.0,5.0,81.0
45930,65.0,562.0,10.0,45.0
49058,65.0,583.0,8.0,39.0
53230,24.0,487.0,4.0,35.0
45498,27.0,439.0,8.0,41.0
57946,52.0,621.0,8.0,70.0
44065,54.0,444.0,9.0,60.0
43831,73.0,460.0,7.0,41.0
40155,18.0,308.0,9.0,82.0
51359,45.0,277.0,10.0,65.0
43525,0.0,572.0,9.0,71.0
47765,59.0,479.0,10.0,102.0
54486,59.0,517.0,12.0,92.0
58810,41.0,551.0,5.0,67.0
51378,69.0,378.0,7.0,64.0
45424,63.0,344.0,13.0,36.0
49860,38.0,414.0,12.0,42.0
49998,13.0,347.0,11.0,95.0
44684,68.0,536.0,4.0,64.0
53672,53.0,454.0,9.0,90.0
47194,47.0,501.0,8.0,65.0
59108,46.0,521.0,7.0,84.0
59572,43.0,484.0,5.0,82.0
55001,49.0,534.0,15.0,46.0
46608,69.0,510.0,10.0,79.0
53141,67.0,481.0,9.0,65.0
57225,23.0,413.0,11.0,0.0
46564,74.0,361.0,4.0,111.0
40420,0.0,417.0,9.0,20.0
52305,63.0,397.0,8.0,39.0
59426,45.0,446.0,13.0,89.0
50231,70.0,455.0,6.0,76.0
57216,0.0,600.0,12.0,60.0
45303,30.0,491.0,14.0,57.0
41975,20.0,703.0,11.0,64.0
44155,71.0,396.0,14.0,57.0
51024,63.0,391.0,13.0,28.0
42184,93.0,399.0,5.0,64.0
57653,63.0,526.0,9.0,62.0
47989,45.0,602.0,4.0,103.0
41065,40.0,445.0,8.0,94.0
51092,36.0,471.0,12.0,33.0
40173,49.0,397.0,9.0,62.0
45693,132.0,502.0,7.0,45.0
51434,52.0,530.0,8.0,66.0
43522,77.0,605.0,7.0,64.0
42304,35.0,567.0,4.0,77.0
40808,29.0,597.0,8.0,79.0
49652,70.0,402.0,13.0,7.0
59971,0.0,398.0,11.0,45.0
59270,91.0,531.0,7.0,50.0
42543,74.0,422.0,6.0,102.0
45237,64.0,757.0,7.0,84.0
55599,60.0,409.0,8.0,65.0
44238,74.0,415.0,6.0,106.0
50943,56.0,463.0,9.0,63.0
42737,41.0,477.0,1.0,73.0
59226,74.0,576.0,12.0,98.0
57864,42.0,498.0,10.0,54.0
43044,21.0,632.0,5.0,19.0
49735,69.0,487.0,11.0,57.0
54838,50.0,496.0,8.0,73.0
44273,48.0,429.0,16.0,59.0
45358,60.0,542.0,8.0,89.0
57333,57.0,721.0,12.0,46.0
42877,61.0,386.0,9.0,71.0
46955,40.0,580.0,10.0,35.0
49103,50.0,527.0,2.0,33.0
43862,14.0,452.0,4.0,8.0
53469,19.0,420.0,8.0,86.0
40650,69.0,481.0,12.0,59.0
59027,79.0,418.0,11.0,60.0
54090,83.0,551.0,6.0,76.0
50842,109.0,446.0,8.0,96.0
55815,74.0,312.0,14.0,35.0
49764,50.0,569.0,7.0,90.0
54805,67.0,473.0,15.0,56.0
