60824,2G,576,48,IT_EMPLOEE,2016-08-17 03:07:15
43115,2G,575,29,WORKER,2016-04-14 18:14:05
64790,4G,571,29,POLICEMAN,2017-07-13 07:30:43
76070,4G,573,27,DOCTOR,2015-03-14 04:41:31
43077,3G,580,30,TEXI DRIVER,2015-11-09 04:04:59
43463,4G,571,45,STUDENT,2016-01-19 06:55:23
47768,4G,572,21,POLICEMAN,2017-01-24 03:48:30
70016,3G,577,64,SALER,2016-12-29 13:13:29
55267,3G,572,54,FAMER,2015-01-09 20:50:07
48321,4G,579,52,SALER,2016-06-15 04:05:59
53129,4G,574,59,CLERK,2015-08-22 19:28:09
67594,3G,580,24,IT_EMPLOEE,2016-09-22 02:12:04
40167,2G,573,31,POLICEMAN,2016-03-24 12:57:14
62741,2G,578,25,BARBER,2015-02-01 04:21:53
74424,3G,576,51,WORKER,2015-11-17 01:10:20
40975,2G,573,22,ENGINEER,2017-10-29 04:16:26
43702,3G,579,51,SECURITY GUARD,2015-06-05 20:02:49
43371,3G,578,44,WORKER,2017-08-06 04:16:47
42724,2G,578,64,NURSE,2016-01-13 22:31:58
59623,3G,576,58,NURSE,2017-04-07 20:25:19
79484,2G,580,29,TEACHER,2017-01-19 13:30:50
58356,3G,570,35,TEXI DRIVER,2015-07-17 08:54:47
45905,4G,579,39,NURSE,2016-09-05 23:40:34
73904,4G,572,32,FAMER,2017-11-30 15:45:11
54013,4G,572,19,SECURITY GUARD,2015-08-04 07:42:52
34419,4G,580,38,BARBER,2015-04-18 07:19:14
39724,2G,576,19,IT_EMPLOEE,2015-04-08 13:43:13
59416,2G,575,36,FAMER,2016-02-02 19:51:05
46304,2G,579,30,SALER,2017-01-04 23:10:03
53330,3G,578,35,NURSE,2015-03-03 16:13:33
74316,3G,573,20,ACCOUNTANT,2016-09-29 20:27:39
76969,3G,571,18,IT_EMPLOEE,2017-06-23 00:40:43
44394,3G,571,59,SOLDER,2016-07-14 03:27:37
52594,2G,571,16,DELIVERIER,2015-05-08 18:43:20
78822,4G,577,48,TEXI DRIVER,2017-06-05 18:22:58
61164,3G,578,40,FAMER,2017-06-04 18:59:53
39667,3G,573,60,POLICEMAN,2017-12-24 09:01:33
79065,3G,574,21,SOLDER,2017-01-03 01:11:53
32446,2G,570,29,BARBER,2017-08-06 10:45:58
55786,3G,575,27,TEXI DRIVER,2016-11-03 11:00:03
47160,3G,575,36,WORKER,2015-11-21 16:22:22
38084,4G,570,63,STUDENT,2015-12-02 12:57:53
42005,3G,577,18,SOLDER,2015-03-13 08:19:49
40447,4G,580,62,BARBER,2015-10-29 02:47:47
68409,4G,572,57,DELIVERIER,2017-07-06 08:31:44
62417,3G,578,58,CHEF,2017-10-27 11:58:58
64162,3G,576,60,CHEF,2017-07-29 14:07:08
57428,3G,571,46,SALER,2016-12-22 17:30:03
52276,2G,570,24,ENGINEER,2015-08-08 23:23:47
47066,4G,578,23,STUDENT,2017-04-17 14:41:21
52880,4G,571,53,POLICEMAN,2017-11-10 15:44:03
57480,2G,572,42,WORKER,2017-11-03 05:54:35
41319,2G,571,21,DELIVERIER,2017-07-02 09:52:18
47751,4G,572,54,DOCTOR,2017-03-19 01:29:18
36317,3G,574,18,CLERK,2015-12-06 19:12:40
38031,2G,571,46,NURSE,2017-04-30 01:26:41
60359,4G,573,58,ACCOUNTANT,2016-09-08 08:03:24
64648,2G,577,30,NURSE,2017-01-22 11:10:08
73490,3G,579,52,STUDENT,2017-10-22 03:02:35
43840,3G,570,49,CHEF,2017-08-09 23:05:18
36538,4G,574,28,ACCOUNTANT,2015-04-20 05:07:49
70722,3G,579,24,CLERK,2017-03-28 22:20:41
75103,3G,574,29,SOLDER,2017-07-17 20:26:47
73773,3G,579,19,NURSE,2015-08-13 07:02:46
69500,4G,572,16,SOLDER,2016-06-25 13:56:42
30403,4G,577,46,STUDENT,2016-03-25 13:41:49
48446,4G,576,36,DOCTOR,2016-05-19 06:18:37
